Issue Date,Issue Time,Ticket No,Code,Description,Officer,Block,Location,Latitude,Longitude
1/20/16,7:38 PM,107018767,1,Expired meter,SANCHEZ O,49 W,COLORADO BLVD,34.14579,-118.15153
1/20/16,7:31 PM,107018766,1,Expired meter,SANCHEZ O,113 E,COLORADO BLVD,34.14587,-118.14835
1/20/16,7:30 PM,107018765,6,Restricted parking,SANCHEZ O,115 E,COLORADO BLVD,34.1458,-118.14826
1/20/16,7:23 PM,107018764,1,Expired meter,SANCHEZ O,58 E,COLORADO BLVD,34.1459,-118.14932
1/20/16,7:16 PM,107018763,1,Expired meter,SANCHEZ O,40 W,COLORADO BLVD,34.145865,-118.15147
1/20/16,7:14 PM,107018762,1,Expired meter,SANCHEZ O,54 W,COLORADO BLVD,34.1458416,-118.15176
1/20/16,7:12 PM,107018761,1,Expired meter,SANCHEZ O,58 W,COLORADO BLVD,34.1458216,-118.1518
1/20/16,7:09 PM,118023607,1,Expired meter,DE LA CRUZ,35 E,UNION ST,34.1467333,-118.14963
1/20/16,7:06 PM,118023606,1,Expired meter,DE LA CRUZ,65 N,ARROYO PKWY,34.147025,-118.14763
1/20/16,7:05 PM,118023605,1,Expired meter,DE LA CRUZ,69 N,ARROYO PKWY,34.147155,-118.14764
1/20/16,7:00 PM,118023604,1,Expired meter,DE LA CRUZ,140 N,RAYMOND AVE,34.1482316,-118.14885
1/20/16,6:58 PM,118023603,1,Expired meter,DE LA CRUZ,80 N,RAYMOND AVE,34.14719,-118.14892
1/20/16,6:54 PM,118023602,1,Expired meter,DE LA CRUZ,34 S,RAYMOND AVE,34.1450633,-118.14893
1/20/16,6:52 PM,118023601,1,Expired meter,DE LA CRUZ,120 S,RAYMOND AVE,34.14392,-118.14888
1/20/16,6:48 PM,118023600,1,Expired meter,DE LA CRUZ,150 W,GREEN ST,34.1444933,-118.15342
1/20/16,6:45 PM,118023599,1,Expired meter,DE LA CRUZ,67 W,DAYTON ST,34.1436883,-118.15189
1/20/16,6:42 PM,118023598,1,Expired meter,DE LA CRUZ,107 S,FAIR OAKS AVE,34.1439066,-118.1505
1/20/16,6:39 PM,118023597,1,Expired meter,DE LA CRUZ,40 W,GREEN ST,34.1444733,-118.15131
1/20/16,6:38 PM,118023596,1,Expired meter,DE LA CRUZ,60 W,GREEN ST,34.1444833,-118.15182
1/20/16,6:07 PM,118023595,8,Parked on private property,DE LA CRUZ,676 E,GREEN ST,34.14416,-118.13664
1/20/16,5:48 PM,118023594,12,Alley parking,DE LA CRUZ,80 N,LEGGE ALY,34.1472983,-118.14805
1/20/16,5:46 PM,107018760,1,Expired meter,SANCHEZ O,60 W,VALLEY ST,34.14239,-118.15202
1/20/16,5:38 PM,107018759,1,Expired meter,SANCHEZ O,126 W,COLORADO BLVD,34.14572,-118.15312
1/20/16,5:35 PM,118023593,1,Expired meter,DE LA CRUZ,122 S,LAKE AVE,34.1436216,-118.1323
1/20/16,5:31 PM,107018758,6,Restricted parking,SANCHEZ O,160 W,COLORADO BLVD,34.1456483,-118.15431
1/20/16,5:24 PM,107018757,1,Expired meter,SANCHEZ O,111 E,UNION ST,34.1467233,-118.14812
1/20/16,5:20 PM,107018756,1,Expired meter,SANCHEZ O,70 N,RAYMOND AVE,34.1472,-118.14903
